,Value
ticker,ROSSELLIND.NS
ROCE,10.592589441442975
ROCE (3yr avg),8.390654865720649
NFAT,0.75457858158373
NFAT (3yr avg),0.9275027104638202
NPM,6.527375184984218
DPR,65.20888055187613
Retention Ratio,34.791119448123865
Dep,3.204547544172932
SSGR,-1.0982381414825146
Av NPM (over 3 years),6.527375184984218
Au NFA/T (over 3 years),0.9275027104638202
Av Dep%NFA (over 3 years),3.204547544172932
Au Retention ratio (over 3 years),34.79111944812386
d/e,0.2904401336927398
Interest coverage,5.599476439790576
tax %,6.59392789373814
cPAT,781502000.0
CFO,325800000.0
cCFO,958145000.0
cCFO/cPAT,1.226030131720712
p/a,3.4434527005308406
p/e,12.800767
EY,7.816965867288017
Earnings Growth 5yr cagr,-13.906096383292754
Sales Growth 5yr cagr,-15.384455558454157
PEG,-0.9205147618118962
no. shares (cr),3.76965
Current Price,66.82
market cap,2518880129.9999995
d/e_market,0.34229497058282016
p/s,1.2971417
NFA + CWIP,2288200000.0
Capex,-330610000.0
Capex_from_cashflow_statement,161800000.0
FCF,656410000.0
FCF%,333.37227018791265
FCF_capex_from_cashflow,164000000.0
FCF%_capex_from_cashflow,83.29101066531234
DV,0.22629103831153732
Mcap (cr),253.0907648
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,2.0147636586863107
Market Cap,2530907648
Net Income,196900000.0
Total Revenue,1773500000.0
Total Assets,3071300000.0
Total Liabilities,1172600000.0
Total Stockholders Equity,2968598000.0
Total Debt,862200000.0
Cash and Cash Equivalents,126200000.0
Current Assets,664500000.0
Current Liabilities,720600000.0
Working Capital,-56100000.0
Operating Cash Flow,325800000.0
Capital Expenditure,161800000.0
Dividends Paid,5700000.0
Depreciation & Amortization,46700000.0
Interest Expense,38200000.0
Income Tax Expense,13900000.0
Shares Outstanding,37696500
Net Fixed Assets,2186200000.0
Construction in Progress,102000000.0
Net Debt,736000000.0
3-5yr Average ROA (%),3.4592902602975197
3-5yr Average ROE (%),6.243705595127896
ROE,8.09073124349485
ROA,4.480397861150445
insidersPercentHeld,0.78734
institutionsPercentHeld,0.02421
institutionsFloatPercentHeld,0.113850005
institutionsCount,1.0
current,66.82
Normalized EBIT,231425666.66666666
Normalized Net Income,160461666.66666666
Research Asset,31315400.0
R&D Amortization,9848400.0
Adjusted EBIT (R&D),249000000.0
Adjusted Book Equity (R&D),2999913400.0
Adjusted D/E (R&D),0.28740829651949285
Adjusted Invested Capital (R&D),3735913400.0
Adjusted ROC (R&D),6.225549006157157
Adjusted ROE (R&D),6.563522800358171
