,Value
ticker,ROUTE.NS
ROCE,18.45082886897707
ROCE (3yr avg),19.09489258698021
NFAT,71.48847746269823
NFAT (3yr avg),62.834191898357176
NPM,8.484831320101838
DPR,20.93580138516667
Retention Ratio,79.06419861483333
Dep,100.0
SSGR,321.5209072226581
Av NPM (over 3 years),8.484831320101838
Au NFA/T (over 3 years),62.834191898357176
Av Dep%NFA (over 3 years),100.0
Au Retention ratio (over 3 years),79.06419861483333
d/e,0.2177950213761694
Interest coverage,10.72305059887558
tax %,21.632911689469854
cPAT,11871600000.0
CFO,6024800000.0
cCFO,7126600000.0
cCFO/cPAT,0.6003066141042488
p/a,9.183626445157463
p/e,18.46063
EY,5.882159245382205
Earnings Growth 5yr cagr,22.13919553031878
Sales Growth 5yr cagr,31.7224468672914
PEG,0.8338437579955817
no. shares (cr),6.29976
Current Price,860.45
market cap,54206284920.0
d/e_market,0.08636821370269993
p/s,1.1984507
NFA + CWIP,588500000.0
Capex,731300000.0
Capex_from_cashflow_statement,213200000.0
FCF,5293500000.0
FCF%,166.0185039987455
FCF_capex_from_cashflow,5811600000.0
FCF%_capex_from_cashflow,182.26752391406617
DV,1.3682915202446233
Mcap (cr),5420.6283776
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.8786183773735228
Market Cap,54206283776
Net Income,3188500000.0
Total Revenue,45756200000.0
Total Assets,38257200000.0
Total Liabilities,13616400000.0
Total Stockholders Equity,21495900000.0
Total Debt,4681700000.0
Cash and Cash Equivalents,3224500000.0
Current Assets,27360600000.0
Current Liabilities,12945600000.0
Working Capital,14415000000.0
Operating Cash Flow,6024800000.0
Capital Expenditure,213200000.0
Dividends Paid,741700000.0
Depreciation & Amortization,890800000.0
Interest Expense,409100000.0
Income Tax Expense,921800000.0
Shares Outstanding,62997600
Net Fixed Assets,587400000.0
Construction in Progress,1100000.0
Net Debt,1457200000.0
3-5yr Average ROA (%),10.779008263631809
3-5yr Average ROE (%),17.180374097580827
ROE,13.91874873133563
ROA,8.738417520136592
insidersPercentHeld,0.74858004
institutionsPercentHeld,0.10139
institutionsFloatPercentHeld,0.40325
institutionsCount,35.0
current,860.45
high,1100.0
low,800.0
mean,971.25
median,992.5
Normalized EBIT,4498633333.333333
Normalized Net Income,3403300000.0
