,Value
ticker,RYAAY
longName,Ryanair Holdings plc
ROCE,19.786833721750657
ROCE (3yr avg),19.072388677177226
NFAT,1.2631250084896561
NFAT (3yr avg),1.2164730914973745
NPM,12.668949562143633
DPR,12.521895888111489
Retention Ratio,87.47810411188851
Dep,10.189513999150487
SSGR,3.2921182399135813
Av NPM (over 3 years),12.668949562143633
Au NFA/T (over 3 years),1.2164730914973745
Av Dep%NFA (over 3 years),10.189513999150487
Au Retention ratio (over 3 years),87.4781041118885
d/e,0.352328544036143
Interest coverage,23.428571428571427
tax %,9.68392737054472
cPAT,4601700000.0
CFO,3415700000.0
cCFO,12405100000.0
cCFO/cPAT,2.695764608731556
p/a,9.383078320408021
p/e,13.502242
EY,5.0556752179265985
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,42.69265398272879
PEG,
no. shares (cr),52.9343203
Current Price,60.22
market cap,31877047684.66
d/e_market,0.08415773087076002
p/s,2.1744235
NFA + CWIP,11072200000.0
Capex,1273100000.0
Capex_from_cashflow_statement,1552500000.0
FCF,2142600000.0
FCF%,132.94862248696947
FCF_capex_from_cashflow,1863200000.0
FCF%_capex_from_cashflow,115.61181434599158
DV,1.373088261905232
Mcap (cr),3187.704832
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.6272799133413356
Market Cap,31877048320
Net Income,1611600000.0
Total Revenue,13948500000.0
Total Assets,17507000000.0
Total Liabilities,10470100000.0
Total Stockholders Equity,7614200000.0
Total Debt,2682700000.0
Cash and Cash Equivalents,1850700000.0
Current Assets,6009700000.0
Current Liabilities,8152800000.0
Working Capital,-2143100000.0
Operating Cash Flow,3415700000.0
Capital Expenditure,1552500000.0
Dividends Paid,437700000.0
Depreciation & Amortization,1214400000.0
Interest Expense,66500000.0
Income Tax Expense,172800000.0
Shares Outstanding,529343203
Net Fixed Assets,11072200000.0
Construction in Progress,0
Net Debt,832000000.0
3-5yr Average ROA (%),9.872229645161795
3-5yr Average ROE (%),26.203445280697004
ROE,28.921642579126818
ROA,11.417595997796406
insidersPercentHeld,0.0
institutionsPercentHeld,0.42173
institutionsFloatPercentHeld,0.42174
institutionsCount,454.0
current,60.22
high,76.0
low,63.0
mean,68.75
median,68.0
Normalized EBIT,1860400000.0
Normalized Net Income,1614166666.6666667
