,Value
ticker,RYN
ROCE,13.382629405429999
ROCE (3yr avg),8.184852639831128
NFAT,10.233366688408234
NFAT (3yr avg),
NPM,18.87652214310982
DPR,102.86032913459779
Retention Ratio,-2.8603291345977944
Dep,0.0
SSGR,
Av NPM (over 3 years),18.87652214310982
Au NFA/T (over 3 years),
Av Dep%NFA (over 3 years),0.0
Au Retention ratio (over 3 years),-2.8603291345977837
d/e,0.637186810682513
Interest coverage,10.919086574926862
tax %,1.8748354532713885
cPAT,792267000.0
CFO,261592000.0
cCFO,1154267000.0
cCFO/cPAT,1.456916670768819
p/a,9.846158485682993
p/e,10.931452
EY,8.593407163348902
Earnings Growth 5yr cagr,30.67658076472717
Sales Growth 5yr cagr,4.410862109585989
PEG,0.35634518996228237
no. shares (cr),15.4162
p/s,3.4146614
NFA + CWIP,101824000.0
Capex,-22500000.0
FCF,284092000.0
FCF%,79.10187193544704
DV,4.7989967927456885
Mcap (cr),423.3985792
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,1.0860118046423437
Current Price,27.11
Market Cap,4233985792
Net Income,359147000.0
Total Revenue,1262997000.0
Total Assets,3474419000.0
Total Liabilities,1642043000.0
Total Stockholders Equity,1860536000.0
Total Debt,1109212000.0
Cash and Cash Equivalents,678000.0
Current Assets,436893000.0
Current Liabilities,388710000.0
Working Capital,48183000.0
Operating Cash Flow,261592000.0
Capital Expenditure,102533000.0
Dividends Paid,200566000.0
Depreciation & Amortization,0
Interest Expense,36916000.0
Income Tax Expense,7050000.0
Shares Outstanding,154162000
Net Fixed Assets,101045000.0
Construction in Progress,779000.0
Net Debt,1108534000.0
3-5yr Average ROA (%),5.457584956328271
3-5yr Average ROE (%),10.899801890887344
ROE,19.788542109752257
ROA,10.085560187834771
insidersPercentHeld,0.00896
institutionsPercentHeld,0.95984
institutionsFloatPercentHeld,0.96852
institutionsCount,465.0
current,27.11
high,37.0
low,27.0
mean,30.28571
median,31.0
