,Value
ticker,SBFC.NS
ROCE,7.834161753939814
ROCE (3yr avg),6.198745372019842
NFAT,34.30559367851944
NFAT (3yr avg),30.59090368759246
NPM,25.5785657840341
DPR,0.0
Retention Ratio,100.0
Dep,38.4692716785309
SSGR,744.0021706876042
Av NPM (over 3 years),25.5785657840341
Au NFA/T (over 3 years),30.59090368759246
Av Dep%NFA (over 3 years),38.4692716785309
Au Retention ratio (over 3 years),100.0
d/e,1.8949578591725322
Interest coverage,7.96132991888296
tax %,24.727673832054812
cPAT,7966600000.0
CFO,-14150090000.0
cCFO,-46364130000.0
cCFO/cPAT,-5.819813973338689
p/a,4.888992090230695
p/e,32.368263
EY,2.9280089438748056
Earnings Growth 5yr cagr,74.2933611728765
Sales Growth 5yr cagr,44.53635354931467
PEG,0.4356817687206379
no. shares (cr),109.0829952
Current Price,108.11
market cap,117929626110.72
d/e_market,0.44639486900921027
p/s,14.498504
NFA + CWIP,447130000.0
Capex,232720000.0
Capex_from_cashflow_statement,117230000.0
FCF,-14382810000.0
FCF%,-416.53204903576324
FCF_capex_from_cashflow,-14267320000.0
FCF%_capex_from_cashflow,-413.1874114897523
DV,0.0
Mcap (cr),11796.0982528
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,1.016446538502582
Market Cap,117960982528
Net Income,3452990000.0
Total Revenue,12373170000.0
Total Assets,85957570000.0
Total Liabilities,54056840000.0
Total Stockholders Equity,27780660000.0
Total Debt,52643180000.0
Cash and Cash Equivalents,560000.0
Current Assets,32375540000.0
Current Liabilities,18479770000.0
Working Capital,13895770000.0
Operating Cash Flow,-14150090000.0
Capital Expenditure,117230000.0
Dividends Paid,0
Depreciation & Amortization,168080000.0
Interest Expense,698990000.0
Income Tax Expense,1134340000.0
Shares Outstanding,1090829952
Net Fixed Assets,441890000.0
Construction in Progress,5240000.0
Net Debt,52642620000.0
3-5yr Average ROA (%),3.114969588100679
3-5yr Average ROE (%),9.261031613753577
ROE,11.571412797188538
ROA,4.410359534112436
insidersPercentHeld,0.62883
institutionsPercentHeld,0.20924
institutionsFloatPercentHeld,0.56372
institutionsCount,32.0
current,108.11
high,130.0
low,105.0
mean,124.25
median,127.0
Normalized EBIT,3528026666.6666665
Normalized Net Income,2440463333.3333335
