,Value
ticker,SCHAND.NS
ROCE,10.079186458515046
ROCE (3yr avg),9.188306984023148
NFAT,5.6243777011871545
NFAT (3yr avg),5.418031360528335
NPM,9.437945159750408
DPR,17.641750760459722
Retention Ratio,82.35824923954029
Dep,36.917467862633494
SSGR,5.1964911234998965
Av NPM (over 3 years),9.437945159750408
Au NFA/T (over 3 years),5.418031360528335
Av Dep%NFA (over 3 years),36.917467862633494
Au Retention ratio (over 3 years),82.35824923954027
d/e,0.11496866761101293
Interest coverage,7.186138460345763
tax %,35.11999655306131
cPAT,1973900000.0
CFO,998900000.0
cCFO,4086000000.0
cCFO/cPAT,2.0700136785044836
p/a,4.989312262549257
p/e,13.058585
EY,9.294718443917834
Earnings Growth 5yr cagr,78.12363814840924
Sales Growth 5yr cagr,14.745178673046988
PEG,0.16715280175755487
no. shares (cr),3.52496
Current Price,193.92
market cap,6835602432.0
d/e_market,0.1582742722038987
p/s,0.96269196
NFA + CWIP,1384640000.0
Capex,631180000.0
Capex_from_cashflow_statement,246750000.0
FCF,367720000.0
FCF%,57.87676084048162
FCF_capex_from_cashflow,752150000.0
FCF%_capex_from_cashflow,118.38356811206421
DV,1.5455843292672058
Mcap (cr),685.067008
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.3681249374311743
Market Cap,6850670080
Net Income,635350000.0
Total Revenue,7196560000.0
Total Assets,12655980000.0
Total Liabilities,2758580000.0
Total Stockholders Equity,9410390000.0
Total Debt,1081900000.0
Cash and Cash Equivalents,123090000.0
Current Assets,5995460000.0
Current Liabilities,2165550000.0
Working Capital,3829910000.0
Operating Cash Flow,998900000.0
Capital Expenditure,246750000.0
Dividends Paid,105650000.0
Depreciation & Amortization,423010000.0
Interest Expense,128990000.0
Income Tax Expense,326040000.0
Shares Outstanding,35249600
Net Fixed Assets,1382590000.0
Construction in Progress,2050000.0
Net Debt,958810000.0
3-5yr Average ROA (%),5.006547149237071
3-5yr Average ROE (%),6.79791666062651
ROE,6.579444710814066
ROA,5.004686847681389
insidersPercentHeld,0.57282
institutionsPercentHeld,0.02939
institutionsFloatPercentHeld,0.06879
institutionsCount,2.0
current,193.92
high,286.0
low,286.0
mean,286.0
median,286.0
Normalized EBIT,918816666.6666666
Normalized Net Income,620683333.3333334
