,Value
ticker,SFM
longName,"Sprouts Farmers Market, Inc."
ROCE,17.283029089775464
ROCE (3yr avg),14.86553639620532
NFAT,3.443303930968788
NFAT (3yr avg),3.4821157783379966
NPM,4.264802420953297
DPR,0.0
Retention Ratio,100.0
Dep,13.05243300453708
SSGR,1.7981027969584784
Av NPM (over 3 years),4.264802420953297
Au NFA/T (over 3 years),3.4821157783379966
Av Dep%NFA (over 3 years),13.05243300453708
Au Retention ratio (over 3 years),100.0
d/e,1.4620568422537346
Interest coverage,103.3545745105873
tax %,24.886026785185653
cPAT,1144778000.0
CFO,645214000.0
cCFO,1846410000.0
cCFO/cPAT,1.612897871901801
p/a,11.43829408179531
p/e,22.666666
EY,3.5795641962413907
Earnings Growth 5yr cagr,21.367139545895707
Sales Growth 5yr cagr,8.164716471434508
PEG,1.0608189248407802
no. shares (cr),9.7726169
Current Price,108.8
market cap,10632607187.199999
d/e_market,0.15793313628867475
p/s,1.2785035
NFA + CWIP,2442086000.0
Capex,502546000.0
Capex_from_cashflow_statement,230375000.0
FCF,142668000.0
FCF%,37.48492515784246
FCF_capex_from_cashflow,414839000.0
FCF%_capex_from_cashflow,108.99577247563721
DV,0.0
Mcap (cr),1073.8152448
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.2211173347137539
Market Cap,10738152448
Net Income,380601000.0
Total Revenue,7719290000.0
Total Assets,3640699000.0
Total Liabilities,2318806000.0
Total Stockholders Equity,1148547000.0
Total Debt,1679241000.0
Cash and Cash Equivalents,769000.0
Current Assets,675520000.0
Current Liabilities,679968000.0
Working Capital,-4448000.0
Operating Cash Flow,645214000.0
Capital Expenditure,230375000.0
Dividends Paid,0
Depreciation & Amortization,274087000.0
Interest Expense,5006000.0
Income Tax Expense,126097000.0
Shares Outstanding,97726169
Net Fixed Assets,2362092000.0
Construction in Progress,79994000.0
Net Debt,1678472000.0
3-5yr Average ROA (%),8.40346830223832
3-5yr Average ROE (%),24.809884988654268
ROE,23.585871401894025
ROA,8.0920215173697
insidersPercentHeld,0.00393
institutionsPercentHeld,1.0030301
institutionsFloatPercentHeld,1.00698
institutionsCount,1021.0
current,108.8
high,209.0
low,150.0
mean,181.92857
median,182.5
Normalized EBIT,412486666.6666667
Normalized Net Income,300207000.0
