,Value
ticker,SHAKTIPUMP.NS
ROCE,48.39034854276544
ROCE (3yr avg),28.589516074125413
NFAT,11.449398349642014
NFAT (3yr avg),8.789835499521551
NPM,9.709047072851947
DPR,6.596984947065464
Retention Ratio,93.40301505293453
Dep,11.173246353983158
SSGR,68.53775219019566
Av NPM (over 3 years),9.709047072851947
Au NFA/T (over 3 years),8.789835499521551
Av Dep%NFA (over 3 years),11.173246353983158
Au Retention ratio (over 3 years),93.40301505293455
d/e,0.22457493724645006
Interest coverage,13.174237288135593
tax %,26.52572867938107
cPAT,6390478000.0
CFO,204900000.0
cCFO,1258414000.0
cCFO/cPAT,0.1969201677871358
p/a,28.15764003439015
p/e,23.696793
EY,4.071571017945518
Earnings Growth 5yr cagr,-1.2346941497649144
Sales Growth 5yr cagr,29.804169606462217
PEG,-19.19243968598366
no. shares (cr),12.3398
Current Price,812.8
market cap,100297894400.0
d/e_market,0.016920594496548074
p/s,3.8984854
NFA + CWIP,2869700000.0
Capex,808915000.0
Capex_from_cashflow_statement,1081400000.0
FCF,-604015000.0
FCF%,-14.790875921345839
FCF_capex_from_cashflow,-876500000.0
FCF%_capex_from_cashflow,-21.463378798638487
DV,0.07986209529040722
Mcap (cr),10029.789184
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,-2.9478526110297705
Market Cap,100297891840
Net Income,4083700000.0
Total Revenue,25162400000.0
Total Assets,19744400000.0
Total Liabilities,8132700000.0
Total Stockholders Equity,7556943000.0
Total Debt,1697100000.0
Cash and Cash Equivalents,933100000.0
Current Assets,16659800000.0
Current Liabilities,7344200000.0
Working Capital,9315600000.0
Operating Cash Flow,204900000.0
Capital Expenditure,1081400000.0
Dividends Paid,80100000.0
Depreciation & Amortization,199900000.0
Interest Expense,442500000.0
Income Tax Expense,1474300000.0
Shares Outstanding,123398000
Net Fixed Assets,2542500000.0
Construction in Progress,327200000.0
Net Debt,764000000.0
3-5yr Average ROA (%),13.304786404342863
3-5yr Average ROE (%),24.235837260367706
ROE,42.60812828534602
ROA,23.848240001698233
insidersPercentHeld,0.54785997
institutionsPercentHeld,0.09003
institutionsFloatPercentHeld,0.19912
institutionsCount,28.0
current,812.8
Normalized EBIT,2843491666.6666665
Normalized Net Income,1914106000.0
