,Value
ticker,SMCGLOBAL.NS
ROCE,19.737687969705455
ROCE (3yr avg),19.683517837060354
NFAT,10.33230659469011
NFAT (3yr avg),10.883674290236993
NPM,11.355385163531494
DPR,17.59087608690877
Retention Ratio,82.40912391309124
Dep,19.442557363086472
SSGR,82.40548910072832
Av NPM (over 3 years),11.355385163531494
Au NFA/T (over 3 years),10.883674290236993
Av Dep%NFA (over 3 years),19.442557363086472
Au Retention ratio (over 3 years),82.40912391309122
d/e,1.5465926689227638
Interest coverage,0.6162664545243628
tax %,23.548884490346207
cPAT,6274020000.0
CFO,235368000.0
cCFO,-2204819000.0
cCFO/cPAT,-0.35142046088472784
p/a,3.0686294448574487
p/e,11.376391
EY,10.463512312111996
Earnings Growth 5yr cagr,-3.3395344999156973
Sales Growth 5yr cagr,14.660730984018988
PEG,-3.40657986922644
no. shares (cr),10.47
Current Price,132.99
market cap,13924053000.0
d/e_market,1.2170619430994696
p/s,0.9057881
NFA + CWIP,2055783000.0
Capex,537845000.0
Capex_from_cashflow_statement,290361000.0
FCF,-302477000.0
FCF%,-20.761044514377687
FCF_capex_from_cashflow,-54993000.0
FCF%_capex_from_cashflow,-3.7745419353510257
DV,1.8585105931441082
Mcap (cr),1393.854976
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,-1.2851237211515585
Market Cap,13938549760
Net Income,1456945000.0
Total Revenue,14945573000.0
Total Assets,49205439000.0
Total Liabilities,37007939000.0
Total Stockholders Equity,10957271000.0
Total Debt,16946435000.0
Cash and Cash Equivalents,208155000.0
Current Assets,40357019000.0
Current Liabilities,29496545000.0
Working Capital,10860474000.0
Operating Cash Flow,235368000.0
Capital Expenditure,290361000.0
Dividends Paid,258780000.0
Depreciation & Amortization,303787000.0
Interest Expense,1969747000.0
Income Tax Expense,452217000.0
Shares Outstanding,104700000
Net Fixed Assets,1612337000.0
Construction in Progress,443446000.0
Net Debt,16738280000.0
3-5yr Average ROA (%),4.357996728137282
3-5yr Average ROE (%),15.702377947260274
ROE,12.598434933415149
ROA,3.013824596047705
insidersPercentHeld,0.73238
institutionsPercentHeld,0.0032300001
institutionsFloatPercentHeld,0.01206
institutionsCount,6.0
current,132.99
Normalized EBIT,3405416000.0
Normalized Net Income,1510085666.6666667
