,Value
ticker,SRE
longName,Sempra
ROCE,3.6529099550179813
ROCE (3yr avg),4.082972474681335
NFAT,0.22291351429030323
NFAT (3yr avg),0.2849493816262996
NPM,18.30389275366417
DPR,57.49419661076448
Retention Ratio,42.50580338923552
Dep,4.247778200576755
SSGR,-2.030810272553476
Av NPM (over 3 years),18.30389275366417
Au NFA/T (over 3 years),0.2849493816262996
Av Dep%NFA (over 3 years),4.247778200576755
Au Retention ratio (over 3 years),42.50580338923551
d/e,1.2492768775047918
Interest coverage,2.8236415633937084
tax %,10.37914691943128
cPAT,9394000000.0
CFO,4907000000.0
cCFO,16109000000.0
cCFO/cPAT,1.7148179689163296
p/a,3.282825386265356
p/e,21.474941
EY,4.874852479572231
Earnings Growth 5yr cagr,30.127566012414242
Sales Growth 5yr cagr,0.8432491409505749
PEG,0.712800396525598
no. shares (cr),65.2472426
Current Price,89.98
market cap,58709468891.48
d/e_market,0.6105999709563428
p/s,4.40233
NFA + CWIP,75218000000.0
Capex,12953000000.0
Capex_from_cashflow_statement,8215000000.0
FCF,-8046000000.0
FCF%,-281.1320754716981
FCF_capex_from_cashflow,-3308000000.0
FCF%_capex_from_cashflow,-115.58350803633823
DV,2.628196148141143
Mcap (cr),5870.9471232
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-1.6396983900550235
Market Cap,58709471232
Net Income,2862000000.0
Total Revenue,13185000000.0
Total Assets,96155000000.0
Total Liabilities,58367000000.0
Total Stockholders Equity,28695000000.0
Total Debt,35848000000.0
Cash and Cash Equivalents,311000000.0
Current Assets,5285000000.0
Current Liabilities,9676000000.0
Working Capital,-4391000000.0
Operating Cash Flow,4907000000.0
Capital Expenditure,8215000000.0
Dividends Paid,1543000000.0
Depreciation & Amortization,2437000000.0
Interest Expense,1049000000.0
Income Tax Expense,219000000.0
Shares Outstanding,652472426
Net Fixed Assets,62614000000.0
Construction in Progress,12604000000.0
Net Debt,35537000000.0
3-5yr Average ROA (%),3.275287215113905
3-5yr Average ROE (%),9.533310931801777
ROE,11.015583019881783
ROA,3.710295315375102
insidersPercentHeld,0.00114
institutionsPercentHeld,0.91761
institutionsFloatPercentHeld,0.91866
institutionsCount,1543.0
current,89.98
high,101.0
low,80.0
mean,88.36364
median,87.0
Normalized EBIT,3164000000.0
Normalized Net Income,2692000000.0
