,Value
ticker,SUNDARMHLD.NS
ROCE,2.026919398488516
ROCE (3yr avg),2.764800504418446
NFAT,4.66972807629503
NFAT (3yr avg),5.490683781072882
NPM,477.9271708989111
DPR,33.2647807582105
Retention Ratio,66.7352192417895
Dep,12.158436843465031
SSGR,1739.0717940023897
Av NPM (over 3 years),477.9271708989111
Au NFA/T (over 3 years),5.490683781072882
Av Dep%NFA (over 3 years),12.158436843465031
Au Retention ratio (over 3 years),66.7352192417895
d/e,0.0033584487441922495
Interest coverage,103.46284403669725
tax %,34.12754520057649
cPAT,13435015000.0
CFO,1882831000.0
cCFO,4500483000.0
cCFO/cPAT,0.33498161334393745
p/a,8.328970137062637
p/e,23.41723
EY,3.8596970345904418
Earnings Growth 5yr cagr,33.93956101394635
Sales Growth 5yr cagr,6.577982128265036
PEG,0.6899685588265992
no. shares (cr),22.0692
Current Price,483.8
market cap,106770789600.0
d/e_market,0.001507603349221649
p/s,69.3898
NFA + CWIP,256093000.0
Capex,97588000.0
Capex_from_cashflow_statement,9436000.0
FCF,1785243000.0
FCF%,43.32032121103734
FCF_capex_from_cashflow,1873395000.0
FCF%_capex_from_cashflow,45.45939861136624
DV,1.9553812497046477
Mcap (cr),10748.7780864
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9481695383175655
Market Cap,107487780864
Net Income,4121029000.0
Total Revenue,913686000.0
Total Assets,58367523000.0
Total Liabilities,2300832000.0
Total Stockholders Equity,47929271000.0
Total Debt,160968000.0
Cash and Cash Equivalents,0
Current Assets,469601000.0
Current Liabilities,46309000.0
Working Capital,423292000.0
Operating Cash Flow,1882831000.0
Capital Expenditure,9436000.0
Dividends Paid,2087776000.0
Depreciation & Amortization,30029000.0
Interest Expense,10900000.0
Income Tax Expense,399710000.0
Shares Outstanding,220692000
Net Fixed Assets,256093000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),8.079376673447676
3-5yr Average ROE (%),8.314415591134336
ROE,7.925363486709225
ROA,7.642448530923933
insidersPercentHeld,0.0
institutionsPercentHeld,0.04033
institutionsFloatPercentHeld,0.04033
institutionsCount,9.0
current,483.8
Normalized EBIT,1370568666.6666667
Normalized Net Income,3942677666.6666665
