,Value
ticker,SURYODAY.NS
ROCE,
ROCE (3yr avg),0.0
NFAT,5.767244557595746
NFAT (3yr avg),6.2975465746603545
NPM,12.056463839435608
DPR,0.0
Retention Ratio,100.0
Dep,28.674006264015592
SSGR,47.25213629053854
Av NPM (over 3 years),12.056463839435608
Au NFA/T (over 3 years),6.2975465746603545
Av Dep%NFA (over 3 years),28.674006264015592
Au Retention ratio (over 3 years),100.0
d/e,1.5015806461978616
Interest coverage,0.0
tax %,20.065354932906903
cPAT,3155889000.0
CFO,13199800000.0
cCFO,18104965000.0
cCFO/cPAT,5.736882697712119
p/a,0.928848995482976
p/e,16.433512
EY,8.752738095069521
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,24.97770294540551
PEG,
no. shares (cr),10.629
Current Price,123.58
market cap,13135318200.0
d/e_market,2.0633607490376593
p/s,1.2475995
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,1769300000.0
FCF,
FCF%,
FCF_capex_from_cashflow,11430500000.0
FCF%_capex_from_cashflow,994.2158824041055
DV,0.0
Mcap (cr),1322.3307264
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,13223307264
Net Income,1149700000.0
Total Revenue,13233900000.0
Total Assets,156143900000.0
Total Liabilities,136873000000.0
Total Stockholders Equity,18049580000.0
Total Debt,27102900000.0
Cash and Cash Equivalents,0
Current Assets,0
Current Liabilities,0
Working Capital,0
Operating Cash Flow,13199800000.0
Capital Expenditure,1769300000.0
Dividends Paid,0
Depreciation & Amortization,555900000.0
Interest Expense,8476100000.0
Income Tax Expense,288600000.0
Shares Outstanding,106290000
Net Fixed Assets,2901400000.0
Construction in Progress,
Net Debt,0
3-5yr Average ROA (%),1.2082932664865151
3-5yr Average ROE (%),7.977400808784555
ROE,6.161228365765928
ROA,0.8214467932953894
insidersPercentHeld,0.34632
institutionsPercentHeld,0.19994
institutionsFloatPercentHeld,0.30587
institutionsCount,15.0
current,123.58
high,178.0
low,178.0
mean,178.0
median,178.0
Normalized EBIT,0.0
Normalized Net Income,1362069666.6666667
