,Value
ticker,SWARAJENG.NS
ROCE,52.20060544225
ROCE (3yr avg),50.935585541074566
NFAT,16.54455910360934
NFAT (3yr avg),15.885195449898827
NPM,9.706881463403095
DPR,74.43069020937848
Retention Ratio,25.56930979062152
Dep,18.571998522358566
SSGR,20.854780060938868
Av NPM (over 3 years),9.706881463403095
Au NFA/T (over 3 years),15.885195449898827
Av Dep%NFA (over 3 years),18.571998522358566
Au Retention ratio (over 3 years),25.56930979062152
d/e,0.005386285267457064
Interest coverage,626.991214783399
tax %,25.583198084700015
cPAT,5469371000.0
CFO,1766650000.0
cCFO,5521276000.0
cCFO/cPAT,1.0094901223559345
p/a,29.810681785159897
p/e,28.29193
EY,3.3990102993982543
Earnings Growth 5yr cagr,14.860824092224622
Sales Growth 5yr cagr,13.899421408931634
PEG,1.9037928061339957
no. shares (cr),1.21475
Current Price,4020.0
market cap,48832950000.0
d/e_market,0.0004065287884512404
p/s,2.7936435
NFA + CWIP,1196859000.0
Capex,-107930000.0
Capex_from_cashflow_statement,244619000.0
FCF,1874580000.0
FCF%,112.93759567957578
FCF_capex_from_cashflow,1522031000.0
FCF%_capex_from_cashflow,91.69761850109379
DV,2.3631359563573366
Mcap (cr),4883.2950272
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,1.0610930291795206
Market Cap,48832950272
Net Income,1659837000.0
Total Revenue,16739636000.0
Total Assets,6721520000.0
Total Liabilities,2529512000.0
Total Stockholders Equity,3685657000.0
Total Debt,19852000.0
Cash and Cash Equivalents,11098000.0
Current Assets,4783942000.0
Current Liabilities,2442334000.0
Working Capital,2341608000.0
Operating Cash Flow,1766650000.0
Capital Expenditure,244619000.0
Dividends Paid,1153989000.0
Depreciation & Amortization,203433000.0
Interest Expense,3301000.0
Income Tax Expense,570623000.0
Shares Outstanding,12147500
Net Fixed Assets,1149202000.0
Construction in Progress,47657000.0
Net Debt,8754000.0
3-5yr Average ROA (%),25.688999608894818
3-5yr Average ROE (%),39.49831244376037
ROE,42.140329653520425
ROA,27.012395268883942
insidersPercentHeld,0.56207
institutionsPercentHeld,0.09595
institutionsFloatPercentHeld,0.21911
institutionsCount,11.0
current,4020.0
high,4529.0
low,4300.0
mean,4414.5
median,4414.5
Normalized EBIT,1961356333.3333333
Normalized Net Income,1458209333.3333333
Research Asset,113026000.0
R&D Amortization,31936000.0
Adjusted EBIT (R&D),2239456000.0
Adjusted Book Equity (R&D),3798683000.0
Adjusted D/E (R&D),0.005226021755434712
Adjusted Invested Capital (R&D),3807437000.0
Adjusted ROC (R&D),43.7704297011428
Adjusted ROE (R&D),43.69506484220979
