,Value
ticker,T
longName,AT&T Inc.
ROCE,6.742009007740219
ROCE (3yr avg),5.023743189945272
NFAT,0.8178250783824798
NFAT (3yr avg),0.8208727131147833
NPM,4.550466502607144
DPR,5.270312180939132
Retention Ratio,94.72968781906087
Dep,12.881541664048926
SSGR,-9.343052685591656
Av NPM (over 3 years),4.550466502607144
Au NFA/T (over 3 years),0.8208727131147833
Av Dep%NFA (over 3 years),12.881541664048926
Au Retention ratio (over 3 years),94.72968781906087
d/e,1.3642506558757757
Interest coverage,3.5691670365438672
tax %,26.61995448556713
cPAT,36905000000.0
CFO,38771000000.0
cCFO,151066000000.0
cCFO/cPAT,4.093374881452378
p/a,2.6895297990468237
p/e,16.537144
EY,5.290619722686273
Earnings Growth 5yr cagr,-18.672860022549777
Sales Growth 5yr cagr,-2.9991710302717633
PEG,-0.8856245899144194
no. shares (cr),715.038976
Current Price,28.94
market cap,206932279654.4
d/e_market,0.6810102330837757
p/s,1.669024
NFA + CWIP,157232000000.0
Capex,22778000000.0
Capex_from_cashflow_statement,20263000000.0
FCF,15993000000.0
FCF%,146.08147606868835
FCF_capex_from_cashflow,18508000000.0
FCF%_capex_from_cashflow,169.0537084398977
DV,3.9665150423647177
Mcap (cr),20693.2279296
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.41249903278223415
Market Cap,206932279296
Net Income,10948000000.0
Total Revenue,122336000000.0
Total Assets,394795000000.0
Total Liabilities,274570000000.0
Total Stockholders Equity,103297000000.0
Total Debt,140923000000.0
Cash and Cash Equivalents,15962000000.0
Current Assets,31168000000.0
Current Liabilities,46872000000.0
Working Capital,-15704000000.0
Operating Cash Flow,38771000000.0
Capital Expenditure,20263000000.0
Dividends Paid,8208000000.0
Depreciation & Amortization,20580000000.0
Interest Expense,6759000000.0
Income Tax Expense,4445000000.0
Shares Outstanding,7150389760
Net Fixed Assets,149780000000.0
Construction in Progress,7452000000.0
Net Debt,124961000000.0
3-5yr Average ROA (%),0.8849123525335835
3-5yr Average ROE (%),3.940578013451352
ROE,14.342843767586169
ROA,3.5559374895822145
insidersPercentHeld,0.00084
institutionsPercentHeld,0.6684
institutionsFloatPercentHeld,0.66896003
institutionsCount,3540.0
current,28.94
high,34.0
low,21.87
mean,30.5848
median,31.0
Normalized EBIT,17674333333.333332
Normalized Net Income,5608000000.0
