,Value
ticker,THLLY
longName,Thales S.A.
ROCE,10.583893226168799
ROCE (3yr avg),10.295560071602724
NFAT,5.628480770282838
NFAT (3yr avg),5.3155637104166695
NPM,6.2767835047782095
DPR,54.03419369818406
Retention Ratio,45.96580630181594
Dep,30.64550128732971
SSGR,-15.309174289101204
Av NPM (over 3 years),6.2767835047782095
Au NFA/T (over 3 years),5.3155637104166695
Av Dep%NFA (over 3 years),30.64550128732971
Au Retention ratio (over 3 years),45.965806301815945
d/e,1.145446559297218
Interest coverage,5.38529934795495
tax %,20.96473380807053
cPAT,4652300000.0
CFO,2746400000.0
cCFO,9989900000.0
cCFO/cPAT,2.147303484298089
p/a,3.659854018362438
p/e,51.17073
EY,2.1941227841075306
Earnings Growth 5yr cagr,10.510284117536584
Sales Growth 5yr cagr,8.315607539171864
PEG,4.8686343230836915
no. shares (cr),102.789258
Current Price,62.94
market cap,64695558985.2
d/e_market,0.12092638386183062
p/s,3.030393
NFA + CWIP,3715500000.0
Capex,1274800000.0
Capex_from_cashflow_statement,623100000.0
FCF,1471600000.0
FCF%,103.67030644593167
FCF_capex_from_cashflow,2123300000.0
FCF%_capex_from_cashflow,149.5808383233533
DV,1.094974695499665
Mcap (cr),6469.5558144
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.5358287212350714
Market Cap,64695558144
Net Income,1419500000.0
Total Revenue,20576600000.0
Total Assets,39989800000.0
Total Liabilities,32431700000.0
Total Stockholders Equity,6830000000.0
Total Debt,7823400000.0
Cash and Cash Equivalents,0
Current Assets,21295400000.0
Current Liabilities,25656700000.0
Working Capital,-4361300000.0
Operating Cash Flow,2746400000.0
Capital Expenditure,623100000.0
Dividends Paid,708400000.0
Depreciation & Amortization,1155400000.0
Interest Expense,337400000.0
Income Tax Expense,247300000.0
Shares Outstanding,1027892580
Net Fixed Assets,3715500000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),3.064152459293556
3-5yr Average ROE (%),15.518570736838093
ROE,14.615928419940161
ROA,2.795938048963066
insidersPercentHeld,0.0
institutionsPercentHeld,0.00132
institutionsFloatPercentHeld,0.00132
institutionsCount,16.0
current,62.94
Normalized EBIT,1459866666.6666667
Normalized Net Income,1187833333.3333333
Research Asset,3208780000.0
R&D Amortization,894380000.0
Adjusted EBIT (R&D),1896320000.0
Adjusted Book Equity (R&D),10038780000.0
Adjusted D/E (R&D),0.7793178055500768
Adjusted Invested Capital (R&D),17862180000.0
Adjusted ROC (R&D),8.39069788710447
Adjusted ROE (R&D),14.140164442292788
