,Value
ticker,TJX
longName,"The TJX Companies, Inc."
ROCE,31.62335470806615
ROCE (3yr avg),29.704851069428845
NFAT,3.4205255811130666
NFAT (3yr avg),3.4605248571966545
NPM,7.962408279475018
DPR,35.110006287698404
Retention Ratio,64.8899937123016
Dep,6.357062777050207
SSGR,11.522798620755282
Av NPM (over 3 years),7.962408279475018
Au NFA/T (over 3 years),3.4605248571966545
Av Dep%NFA (over 3 years),6.357062777050207
Au Retention ratio (over 3 years),64.88999371230159
d/e,1.7499315256094221
Interest coverage,82.92105263157895
tax %,24.973006324232607
cPAT,16119000000.0
CFO,6116000000.0
cCFO,19314000000.0
cCFO/cPAT,1.1982132886655499
p/a,16.351228695330622
p/e,32.55405
EY,3.023669032686286
Earnings Growth 5yr cagr,15.899000609850344
Sales Growth 5yr cagr,5.0978705767638965
PEG,2.0475532266997267
no. shares (cr),111.293875
Current Price,144.54
market cap,160864166925.0
d/e_market,0.0794334763562199
p/s,2.777111
NFA + CWIP,16987000000.0
Capex,2124000000.0
Capex_from_cashflow_statement,1918000000.0
FCF,3992000000.0
FCF%,82.07236842105263
FCF_capex_from_cashflow,4198000000.0
FCF%_capex_from_cashflow,86.30756578947368
DV,1.0244668104167352
Mcap (cr),16086.4157696
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.6527141922825376
Market Cap,160864157696
Net Income,4864000000.0
Total Revenue,56360000000.0
Total Assets,31749000000.0
Total Liabilities,23356000000.0
Total Stockholders Equity,7302000000.0
Total Debt,12778000000.0
Cash and Cash Equivalents,617000000.0
Current Assets,12991000000.0
Current Liabilities,11008000000.0
Working Capital,1983000000.0
Operating Cash Flow,6116000000.0
Capital Expenditure,1918000000.0
Dividends Paid,1648000000.0
Depreciation & Amortization,1104000000.0
Interest Expense,76000000.0
Income Tax Expense,1619000000.0
Shares Outstanding,1112938750
Net Fixed Assets,16987000000.0
Construction in Progress,0
Net Debt,12161000000.0
3-5yr Average ROA (%),13.858413204451042
3-5yr Average ROE (%),61.023134238447824
ROE,65.4763647007171
ROA,15.402093087303772
insidersPercentHeld,0.0010800001
institutionsPercentHeld,0.9308
institutionsFloatPercentHeld,0.93181
institutionsCount,3070.0
current,144.54
high,172.0
low,90.0
mean,149.44444
median,152.0
Normalized EBIT,5775000000.0
Normalized Net Income,4278666666.6666665
