,Value
ticker,TMB.NS
ROCE,
ROCE (3yr avg),0.0
NFAT,12.1978893904318
NFAT (3yr avg),12.223231307045985
NPM,37.89213934998123
DPR,14.1047089321734
Retention Ratio,85.89529106782659
Dep,27.366096278282544
SSGR,370.4702994755603
Av NPM (over 3 years),37.89213934998123
Au NFA/T (over 3 years),12.223231307045985
Av Dep%NFA (over 3 years),27.366096278282544
Au Retention ratio (over 3 years),85.89529106782659
d/e,0.06312173090188594
Interest coverage,0.0
tax %,24.908411046183108
cPAT,41058074000.0
CFO,18988372000.0
cCFO,13435102000.0
cCFO/cPAT,0.32722192473032224
p/a,1.9212996492401773
p/e,5.6024017
EY,17.59101266478826
Earnings Growth 5yr cagr,8.997897131355504
Sales Growth 5yr cagr,6.242483145487077
PEG,0.6226345576320248
no. shares (cr),15.8351008
Current Price,424.55
market cap,67227920446.4
d/e_market,0.07437386084233319
p/s,2.1932092
NFA + CWIP,2844838000.0
Capex,997371000.0
Capex_from_cashflow_statement,1052678000.0
FCF,17991001000.0
FCF%,152.129980267328
FCF_capex_from_cashflow,17935694000.0
FCF%_capex_from_cashflow,151.66231019056877
DV,2.3554424850349447
Mcap (cr),6729.1172864
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.9474746439557852
Market Cap,67291172864
Net Income,11826072000.0
Total Revenue,31508856000.0
Total Assets,664498704000.0
Total Liabilities,574411778000.0
Total Stockholders Equity,79212023000.0
Total Debt,5000000000.0
Cash and Cash Equivalents,0
Current Assets,0
Current Liabilities,0
Working Capital,0
Operating Cash Flow,18988372000.0
Capital Expenditure,1052678000.0
Dividends Paid,1583515000.0
Depreciation & Amortization,862331000.0
Interest Expense,29903401000.0
Income Tax Expense,3922800000.0
Shares Outstanding,158351008
Net Fixed Assets,2844838000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),1.7640839016251313
3-5yr Average ROE (%),15.149533857989116
ROE,13.970638411937216
ROA,1.8477901072277745
insidersPercentHeld,0.27416
institutionsPercentHeld,0.02736
institutionsFloatPercentHeld,0.0377
institutionsCount,22.0
current,424.55
Normalized EBIT,0.0
Normalized Net Income,10946329000.0
