,Value
ticker,TMUS
longName,"T-Mobile US, Inc."
ROCE,9.647026258776435
ROCE (3yr avg),6.937061545514164
NFAT,1.1809167337642084
NFAT (3yr avg),1.123108205635974
NPM,9.257337426794772
DPR,12.6948998182659
Retention Ratio,87.30510018173409
Dep,18.458731490151013
SSGR,-9.381627534858495
Av NPM (over 3 years),9.257337426794772
Au NFA/T (over 3 years),1.123108205635974
Av Dep%NFA (over 3 years),18.458731490151013
Au Retention ratio (over 3 years),87.30510018173409
d/e,1.767812717298926
Interest coverage,5.279976546467312
tax %,22.926862425231104
cPAT,25270000000.0
CFO,22293000000.0
cCFO,71550000000.0
cCFO/cPAT,2.8314206569054217
p/a,5.459789485848557
p/e,23.682419
EY,4.021132407711544
Earnings Growth 5yr cagr,58.849355131648394
Sales Growth 5yr cagr,0.5305600136728872
PEG,0.40242444368373226
no. shares (cr),112.5420032
Current Price,250.56
market cap,281985243217.92
d/e_market,0.40570917362362774
p/s,3.3548903
NFA + CWIP,70399000000.0
Capex,9195000000.0
Capex_from_cashflow_statement,12311000000.0
FCF,13098000000.0
FCF%,115.51283181938443
FCF_capex_from_cashflow,9982000000.0
FCF%_capex_from_cashflow,88.03245436105477
DV,1.1702740052427987
Mcap (cr),28198.5253376
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.5875386892746602
Market Cap,281985253376
Net Income,11339000000.0
Total Revenue,81400000000.0
Total Assets,208035000000.0
Total Liabilities,146294000000.0
Total Stockholders Equity,64715000000.0
Total Debt,114404000000.0
Cash and Cash Equivalents,1853000000.0
Current Assets,18404000000.0
Current Liabilities,20174000000.0
Working Capital,-1770000000.0
Operating Cash Flow,22293000000.0
Capital Expenditure,12311000000.0
Dividends Paid,3300000000.0
Depreciation & Amortization,12919000000.0
Interest Expense,3411000000.0
Income Tax Expense,3373000000.0
Shares Outstanding,1125420032
Net Fixed Assets,67022000000.0
Construction in Progress,3377000000.0
Net Debt,112551000000.0
3-5yr Average ROA (%),2.604633468398677
3-5yr Average ROE (%),8.056138642032234
ROE,12.379159193575994
ROA,3.969738914610281
insidersPercentHeld,0.56868
institutionsPercentHeld,0.39402
institutionsFloatPercentHeld,0.91353
institutionsCount,2345.0
current,250.56
high,309.0
low,200.0
mean,272.0843
median,273.25
Normalized EBIT,12989000000.0
Normalized Net Income,7415333333.333333
