,Value
ticker,UA
longName,"Under Armour, Inc."
ROCE,-3.986774562243399
ROCE (3yr avg),3.334505301025933
NFAT,4.624737277138925
NFAT (3yr avg),4.957145163661975
NPM,2.171887548737744
DPR,0.0
Retention Ratio,100.0
Dep,12.69822121310095
SSGR,-1.93185935485798
Av NPM (over 3 years),2.171887548737744
Au NFA/T (over 3 years),4.957145163661975
Av Dep%NFA (over 3 years),12.69822121310095
Au Retention ratio (over 3 years),100.0
d/e,0.603473946331328
Interest coverage,
tax %,1.4113946923745617
cPAT,765294000.0
CFO,-59319000.0
cCFO,919594000.0
cCFO/cPAT,1.2016218603569346
p/a,-4.2276464091461525
p/e,21.954546
EY,-20.27392165996296
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,-3.1425541222968145
PEG,
no. shares (cr),20.5535895
Current Price,4.83
market cap,992738372.85
d/e_market,1.30895715884284
p/s,0.4122671
NFA + CWIP,1053664000.0
Capex,-85694000.0
Capex_from_cashflow_statement,168684000.0
FCF,26375000.0
FCF%,-13.10448309956426
FCF_capex_from_cashflow,-228003000.0
FCF%_capex_from_cashflow,113.28384683032986
DV,0.0
Mcap (cr),210.862784
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,-0.444629882499705
Market Cap,2108627840
Net Income,-201267000.0
Total Revenue,5164310000.0
Total Assets,4300871000.0
Total Liabilities,2410593000.0
Total Stockholders Equity,2153286000.0
Total Debt,1299452000.0
Cash and Cash Equivalents,206078000.0
Current Assets,2329097000.0
Current Liabilities,1109143000.0
Working Capital,1219954000.0
Operating Cash Flow,-59319000.0
Capital Expenditure,168684000.0
Dividends Paid,0
Depreciation & Amortization,135804000.0
Interest Expense,
Income Tax Expense,-2890000.0
Shares Outstanding,205535895
Net Fixed Assets,1029488000.0
Construction in Progress,24176000.0
Net Debt,1093374000.0
3-5yr Average ROA (%),6.45500802434618
3-5yr Average ROE (%),15.766793967294719
ROE,11.265725161690941
ROA,4.840113776318961
insidersPercentHeld,0.09378
institutionsPercentHeld,0.75805
institutionsFloatPercentHeld,0.8365
institutionsCount,394.0
current,4.83
Normalized EBIT,122030000.0
Normalized Net Income,135078000.0
