,Value
ticker,UBER
longName,"Uber Technologies, Inc."
ROCE,11.687789177227922
ROCE (3yr avg),-5.437778020962857
NFAT,13.691780821917808
NFAT (3yr avg),11.333016192404406
NPM,-0.4010275598724178
DPR,0.0
Retention Ratio,100.0
Dep,24.986686296359622
SSGR,-29.53153812599416
Av NPM (over 3 years),-0.4010275598724178
Au NFA/T (over 3 years),11.333016192404406
Av Dep%NFA (over 3 years),24.986686296359622
Au Retention ratio (over 3 years),100.0
d/e,0.9890656947284203
Interest coverage,5.351816443594647
tax %,-139.5878787878788
cPAT,2106000000.0
CFO,7137000000.0
cCFO,10919000000.0
cCFO/cPAT,5.184710351377018
p/a,25.46835835551306
p/e,16.34753
EY,4.925121112289589
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,36.07297310190785
PEG,
no. shares (cr),208.5420032
Current Price,95.96
market cap,200116906270.72
d/e_market,0.05559750151718138
p/s,4.2280307
NFA + CWIP,3328000000.0
Capex,548000000.0
Capex_from_cashflow_statement,242000000.0
FCF,6589000000.0
FCF%,66.85267857142857
FCF_capex_from_cashflow,6895000000.0
FCF%_capex_from_cashflow,69.95738636363636
DV,0.0
Mcap (cr),20011.6912128
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.9232170379711363
Market Cap,200116912128
Net Income,9856000000.0
Total Revenue,43978000000.0
Total Assets,51244000000.0
Total Liabilities,28768000000.0
Total Stockholders Equity,11249000000.0
Total Debt,11126000000.0
Cash and Cash Equivalents,493000000.0
Current Assets,12245000000.0
Current Liabilities,11476000000.0
Working Capital,769000000.0
Operating Cash Flow,7137000000.0
Capital Expenditure,242000000.0
Dividends Paid,0
Depreciation & Amortization,737000000.0
Interest Expense,523000000.0
Income Tax Expense,-5758000000.0
Shares Outstanding,2085420032
Net Fixed Assets,3110000000.0
Construction in Progress,218000000.0
Net Debt,10633000000.0
3-5yr Average ROA (%),-10.230945762969286
3-5yr Average ROE (%),-31.783875244642175
ROE,20.302329334552695
ROA,5.329906225285278
insidersPercentHeld,0.00472
institutionsPercentHeld,0.84353995
institutionsFloatPercentHeld,0.84753996
institutionsCount,3073.0
current,95.96
high,150.0
low,82.0
mean,106.1402
median,108.0
Normalized EBIT,-419666666.6666667
Normalized Net Income,867333333.3333334
Research Asset,8140600000.0
R&D Amortization,2225000000.0
Adjusted EBIT (R&D),5532000000.0
Adjusted Book Equity (R&D),19389600000.0
Adjusted D/E (R&D),0.5738127656063045
Adjusted Invested Capital (R&D),30022600000.0
Adjusted ROC (R&D),44.146747631935455
Adjusted ROE (R&D),50.831373519825064
