,Value
ticker,UEC
longName,Uranium Energy Corp.
ROCE,-8.230424890401583
ROCE (3yr avg),-4.113215157683157
NFAT,0.09863696602450392
NFAT (3yr avg),0.17217794788491989
NPM,-4392.749964005848
DPR,0.0
Retention Ratio,100.0
Dep,0.5156901147383911
SSGR,-756.8503644888209
Av NPM (over 3 years),-4392.749964005848
Au NFA/T (over 3 years),0.17217794788491989
Av Dep%NFA (over 3 years),0.5156901147383911
Au Retention ratio (over 3 years),100.0
d/e,
Interest coverage,-50.77524204702628
tax %,3.072925305468016
cPAT,-114932000.0
CFO,-64458000.0
cCFO,-151359000.0
cCFO/cPAT,1.3169439320641771
p/a,-9.8508925320399
p/e,inf
EY,-1.4139991899425832
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,42.370457475324706
PEG,
no. shares (cr),46.4704265
Current Price,13.34
market cap,6199154895.1
d/e_market,
p/s,95.04477
NFA + CWIP,777164000.0
Capex,203602000.0
Capex_from_cashflow_statement,5695000.0
FCF,-268060000.0
FCF%,305.8090718262298
FCF_capex_from_cashflow,-70153000.0
FCF%_capex_from_cashflow,80.03217121474856
DV,0.0
Mcap (cr),635.2507392
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,4.1586769679481215
Market Cap,6352507392
Net Income,-87656000.0
Total Revenue,66837000.0
Total Assets,1107653000.0
Total Liabilities,123753000.0
Total Stockholders Equity,778113000.0
Total Debt,
Cash and Cash Equivalents,
Current Assets,234016000.0
Current Liabilities,26433000.0
Working Capital,207583000.0
Operating Cash Flow,-64458000.0
Capital Expenditure,5695000.0
Dividends Paid,0
Depreciation & Amortization,4486000.0
Interest Expense,1446000.0
Income Tax Expense,-2779000.0
Shares Outstanding,464704265
Net Fixed Assets,777164000.0
Construction in Progress,0
Net Debt,
3-5yr Average ROA (%),-2.0984290349836128
3-5yr Average ROE (%),-2.417432867870504
ROE,-4.1449990779749495
ROA,-3.5910894380481464
insidersPercentHeld,0.01837
institutionsPercentHeld,0.8592
institutionsFloatPercentHeld,0.87529
institutionsCount,469.0
current,13.34
high,19.75
low,10.5
mean,15.36111
median,15.5
Normalized EBIT,-41349666.666666664
Normalized Net Income,-40061333.333333336
