,Value
ticker,UNIVCABLES.NS
ROCE,8.763063439917877
ROCE (3yr avg),10.202821486454631
NFAT,10.78568456842012
NFAT (3yr avg),12.698966807663714
NPM,4.824557996404129
DPR,8.523374526167649
Retention Ratio,91.47662547383236
Dep,14.048054576005734
SSGR,41.996839776043274
Av NPM (over 3 years),4.824557996404129
Au NFA/T (over 3 years),12.698966807663714
Av Dep%NFA (over 3 years),14.048054576005734
Au Retention ratio (over 3 years),91.47662547383236
d/e,0.478175051966174
Interest coverage,1.4105293465669173
tax %,23.899141892162262
cPAT,3906875000.0
CFO,1756217000.0
cCFO,3395351000.0
cCFO/cPAT,0.8690708046712526
p/a,2.6926231005747
p/e,21.781677
EY,3.518067739384362
Earnings Growth 5yr cagr,6.0467514370121656
Sales Growth 5yr cagr,10.227277779363986
PEG,3.6022114067190447
no. shares (cr),3.46954
Current Price,732.3
market cap,25407441420.0
d/e_market,0.3340690965174722
p/s,1.0082806
NFA + CWIP,3029941000.0
Capex,1520513000.0
Capex_from_cashflow_statement,1630661000.0
FCF,235704000.0
FCF%,26.369495587072116
FCF_capex_from_cashflow,125556000.0
FCF%_capex_from_cashflow,14.046636408081437
DV,0.4062589313646837
Mcap (cr),2540.7440896
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.13421120510734152
Market Cap,25407440896
Net Income,893851000.0
Total Revenue,24083862000.0
Total Assets,34192811000.0
Total Liabilities,16472904000.0
Total Stockholders Equity,17750489000.0
Total Debt,8487841000.0
Cash and Cash Equivalents,820085000.0
Current Assets,14259450000.0
Current Liabilities,8938743000.0
Working Capital,5320707000.0
Operating Cash Flow,1756217000.0
Capital Expenditure,1630661000.0
Dividends Paid,103220000.0
Depreciation & Amortization,273181000.0
Interest Expense,1038469000.0
Income Tax Expense,280710000.0
Shares Outstanding,34695400
Net Fixed Assets,2685106000.0
Construction in Progress,344835000.0
Net Debt,7667756000.0
3-5yr Average ROA (%),3.4758178289911243
3-5yr Average ROE (%),6.7071067519971805
ROE,5.03998320176634
ROA,2.652805790467426
insidersPercentHeld,0.72982
institutionsPercentHeld,0.06066
institutionsFloatPercentHeld,0.22451
institutionsCount,5.0
current,732.3
Normalized EBIT,2314736666.6666665
Normalized Net Income,1052539333.3333334
