,Value
ticker,UTHR
ROCE,23.874492521770627
ROCE (3yr avg),20.69205305177057
NFAT,3.01788242697572
NFAT (3yr avg),
NPM,40.46894836542811
DPR,0.0
Retention Ratio,100.0
Dep,5.9761095866555785
SSGR,
Av NPM (over 3 years),40.46894836542811
Au NFA/T (over 3 years),
Av Dep%NFA (over 3 years),5.9761095866555785
Au Retention ratio (over 3 years),100.0
d/e,0.0501269883705387
Interest coverage,33.75524475524475
tax %,22.34567901234568
cPAT,3383000000.0
CFO,1327100000.0
cCFO,3705800000.0
cCFO/cPAT,1.0954182678096365
p/a,16.675038370308357
p/e,12.182209
EY,8.463277052927825
Earnings Growth 5yr cagr,35.61837257259677
Sales Growth 5yr cagr,19.51538847907146
PEG,0.3420203709523906
no. shares (cr),4.52263
p/s,4.5880203
NFA + CWIP,1440600000.0
Capex,208600000.0
FCF,1118500000.0
FCF%,93.59049451928709
DV,0.0
Mcap (cr),1412.1008128
d/e decreasing trend 5 yrs,True
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.8428151608771004
Current Price,312.23
Market Cap,14121008128
Net Income,1195100000.0
Total Revenue,2877400000.0
Total Assets,7364000000.0
Total Liabilities,920000000.0
Total Stockholders Equity,5984800000.0
Total Debt,
Cash and Cash Equivalents,169700000.0
Current Assets,3873900000.0
Current Liabilities,738100000.0
Working Capital,3135800000.0
Operating Cash Flow,1327100000.0
Capital Expenditure,246500000.0
Dividends Paid,0
Depreciation & Amortization,72500000.0
Interest Expense,42900000.0
Income Tax Expense,343900000.0
Shares Outstanding,45226300
Net Fixed Assets,1222400000.0
Construction in Progress,218200000.0
Net Debt,
3-5yr Average ROA (%),13.383410198644082
3-5yr Average ROE (%),16.53283200397273
ROE,19.231140576725025
ROA,16.448971165095312
insidersPercentHeld,0.0177
institutionsPercentHeld,0.99561995
institutionsFloatPercentHeld,1.01356
institutionsCount,963.0
current,312.23
high,510.0
low,295.0
mean,380.5675
median,400.0
