,Value
ticker,VCYT
ROCE,2.107905505312747
ROCE (3yr avg),-2.8246208866578435
NFAT,8.740213523131672
NFAT (3yr avg),10.001501002889613
NPM,-9.173889287822602
DPR,0.0
Retention Ratio,100.0
Dep,72.5760562909676
SSGR,-164.32871920352363
Av NPM (over 3 years),-9.173889287822602
Au NFA/T (over 3 years),10.001501002889613
Av Dep%NFA (over 3 years),72.5760562909676
Au Retention ratio (over 3 years),100.0
d/e,0.048593911322840105
Interest coverage,10003.0
tax %,6.238346799254195
cPAT,-162389000.0
CFO,75096000.0
cCFO,95232000.0
cCFO/cPAT,-0.5864436630559952
p/a,2.1650255716625435
p/e,85.5
EY,1.0554514682242915
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,26.6332022921808
PEG,
no. shares (cr),7.86716
Current Price,29.07
market cap,2286983412.0
d/e_market,0.022185119373310084
p/s,4.77321
NFA + CWIP,71248000.0
Capex,61381000.0
Capex_from_cashflow_statement,11287000.0
FCF,13715000.0
FCF%,56.81912337393322
FCF_capex_from_cashflow,63809000.0
FCF%_capex_from_cashflow,264.3508161405253
DV,0.0
Mcap (cr),228.6983424
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.18263289655907106
Market Cap,2286983424
Net Income,24138000.0
Total Revenue,445764000.0
Total Assets,1300035000.0
Total Liabilities,124069000.0
Total Stockholders Equity,1044102000.0
Total Debt,50737000.0
Cash and Cash Equivalents,14551000.0
Current Assets,372267000.0
Current Liabilities,78633000.0
Working Capital,293634000.0
Operating Cash Flow,75096000.0
Capital Expenditure,11287000.0
Dividends Paid,0
Depreciation & Amortization,23459000.0
Interest Expense,2000.0
Income Tax Expense,1606000.0
Shares Outstanding,78671600
Net Fixed Assets,71142000.0
Construction in Progress,106000.0
Net Debt,36186000.0
3-5yr Average ROA (%),-2.55721862555161
3-5yr Average ROE (%),-2.737984985883994
ROE,2.1745279874310155
ROA,1.999055049378018
insidersPercentHeld,0.0053399997
institutionsPercentHeld,1.09366
institutionsFloatPercentHeld,1.09954
institutionsCount,398.0
current,29.07
high,45.0
low,28.0
mean,39.75
median,41.5
Normalized EBIT,-29026666.666666668
Normalized Net Income,-28942000.0
Research Asset,151437000.0
R&D Amortization,39409000.0
Adjusted EBIT (R&D),55631000.0
Adjusted Book Equity (R&D),1195539000.0
Adjusted D/E (R&D),0.042438598824463276
Adjusted Invested Capital (R&D),1231725000.0
Adjusted ROC (R&D),4.234755752469659
Adjusted ROE (R&D),2.0190056535169494
