,Value
ticker,VKTX
longName,"Viking Therapeutics, Inc."
ROCE,-17.13243607732022
ROCE (3yr avg),-31.330120811963372
NFAT,0.0
NFAT (3yr avg),0.0
NPM,-1
DPR,0.0
Retention Ratio,100.0
Dep,31.93071265201861
SSGR,-31.930712652018613
Av NPM (over 3 years),-1
Au NFA/T (over 3 years),0.0
Av Dep%NFA (over 3 years),31.93071265201861
Au Retention ratio (over 3 years),100.0
d/e,0.00321165034053826
Interest coverage,inf
tax %,-0.0
cPAT,-319715000.0
CFO,-87790000.0
cCFO,-257149000.0
cCFO/cPAT,0.80430696088704
p/a,-29.84151537355152
p/e,inf
EY,-3.721184648810404
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,
PEG,
no. shares (cr),11.2444961
Current Price,26.28
market cap,2955053575.08
d/e_market,0.0003786733375788986
p/s,0
NFA + CWIP,1003000.0
Capex,223000.0
Capex_from_cashflow_statement,0
FCF,-88013000.0
FCF%,80.03874030355665
FCF_capex_from_cashflow,-87790000.0
FCF%_capex_from_cashflow,79.83594481780236
DV,0.0
Mcap (cr),295.5053568
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.0025401526369746
Market Cap,2955053568
Net Income,-109963000.0
Total Revenue,0.0
Total Assets,908321000.0
Total Liabilities,28043000.0
Total Stockholders Equity,348419000.0
Total Debt,1119000.0
Cash and Cash Equivalents,1128000.0
Current Assets,907216000.0
Current Liabilities,27413000.0
Working Capital,879803000.0
Operating Cash Flow,-87790000.0
Capital Expenditure,0
Dividends Paid,0
Depreciation & Amortization,346000.0
Interest Expense,0
Income Tax Expense,0
Shares Outstanding,112444961
Net Fixed Assets,1003000.0
Construction in Progress,0
Net Debt,-9000.0
3-5yr Average ROA (%),-34.15633832491364
3-5yr Average ROE (%),-37.23139547550593
ROE,-34.793545603869234
ROA,-31.98955716650621
insidersPercentHeld,0.021459999
institutionsPercentHeld,0.6838
institutionsFloatPercentHeld,0.69878995
institutionsCount,525.0
current,26.28
high,125.0
low,33.0
mean,92.29412
median,98.0
Normalized EBIT,-107367666.66666667
Normalized Net Income,-88241666.66666667
Research Asset,203221600.0
R&D Amortization,52933000.0
Adjusted EBIT (R&D),-102210000.0
Adjusted Book Equity (R&D),551640600.0
Adjusted D/E (R&D),0.002028494639444595
Adjusted Invested Capital (R&D),551631600.0
Adjusted ROC (R&D),-13.89650266590964
Adjusted ROE (R&D),-19.933811978306164
