,Value
ticker,VOLTAMP.NS
ROCE,27.101609544838134
ROCE (3yr avg),26.50979934419732
NFAT,19.47370322105442
NFAT (3yr avg),20.6783104528099
NPM,16.844503929557582
DPR,21.81132342290491
Retention Ratio,78.1886765770951
Dep,14.449503468232933
SSGR,257.89407472439257
Av NPM (over 3 years),16.844503929557582
Au NFA/T (over 3 years),20.6783104528099
Av Dep%NFA (over 3 years),14.449503468232933
Au Retention ratio (over 3 years),78.1886765770951
d/e,0.0015717934151046127
Interest coverage,246.516459197787
tax %,25.41579466201363
cPAT,9655546000.0
CFO,2192053000.0
cCFO,6690039000.0
cCFO/cPAT,0.6928700873052648
p/a,21.39361028892299
p/e,24.527746
EY,4.074313977383989
Earnings Growth 5yr cagr,34.80508560916438
Sales Growth 5yr cagr,19.716698216041806
PEG,0.7047173012423709
no. shares (cr),1.01171
Current Price,7894.5
market cap,79869445950.0
d/e_market,0.0002663847200507593
p/s,4.1312413
NFA + CWIP,1241868000.0
Capex,597560000.0
Capex_from_cashflow_statement,602553000.0
FCF,1594493000.0
FCF%,48.9990264685022
FCF_capex_from_cashflow,1589500000.0
FCF%_capex_from_cashflow,48.845590775051534
DV,1.1398864599235397
Mcap (cr),7986.9444096
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7273971021686063
Market Cap,79869444096
Net Income,3254132000.0
Total Revenue,19247263000.0
Total Assets,17756610000.0
Total Liabilities,1880409000.0
Total Stockholders Equity,13536130000.0
Total Debt,21276000.0
Cash and Cash Equivalents,63263000.0
Current Assets,7125420000.0
Current Liabilities,1604466000.0
Working Capital,5520954000.0
Operating Cash Flow,2192053000.0
Capital Expenditure,602553000.0
Dividends Paid,910421000.0
Depreciation & Amortization,131681000.0
Interest Expense,14460000.0
Income Tax Expense,1108899000.0
Shares Outstanding,10117100
Net Fixed Assets,1207583000.0
Construction in Progress,34285000.0
Net Debt,-41987000.0
3-5yr Average ROA (%),19.885757583861036
3-5yr Average ROE (%),22.206805943698324
ROE,22.127671553811904
ROA,19.741528716146533
insidersPercentHeld,0.3781
institutionsPercentHeld,0.3934
institutionsFloatPercentHeld,0.63258
institutionsCount,46.0
current,7894.5
high,11583.0
low,8002.0
mean,10252.429
median,10285.0
Normalized EBIT,3663218333.3333335
Normalized Net Income,2775722333.3333335
