,Value
ticker,VTOL
ROCE,7.76081976451444
ROCE (3yr avg),4.609022313634395
NFAT,1.1074980165840178
NFAT (3yr avg),1.0679157833325486
NPM,1.6140647777053598
DPR,0.0
Retention Ratio,100.0
Dep,7.1551599741741745
SSGR,-5.431474722741479
Av NPM (over 3 years),1.6140647777053598
Au NFA/T (over 3 years),1.0679157833325486
Av Dep%NFA (over 3 years),7.1551599741741745
Au Retention ratio (over 3 years),100.0
d/e,1.161959579306217
Interest coverage,3.4468481413480214
tax %,7.0476078500533985
cPAT,16132000.0
CFO,177420000.0
cCFO,430156000.0
cCFO/cPAT,26.664765683114307
p/a,4.893309065606485
p/e,9.415
EY,8.735961795877166
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,6.3113553552430535
PEG,
no. shares (cr),2.8814
Current Price,37.66
market cap,1085135240.0
d/e_market,0.8820015835076925
p/s,0.7506433
NFA + CWIP,1584672000.0
Capex,352835000.0
Capex_from_cashflow_statement,255393000.0
FCF,-175415000.0
FCF%,-185.0427756152621
FCF_capex_from_cashflow,-77973000.0
FCF%_capex_from_cashflow,-82.25260293047249
DV,0.0
Mcap (cr),108.5135232
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,-0.9886991320031564
Market Cap,1085135232
Net Income,94797000.0
Total Revenue,1415491000.0
Total Assets,2125246000.0
Total Liabilities,1233974000.0
Total Stockholders Equity,823687000.0
Total Debt,957091000.0
Cash and Cash Equivalents,42078000.0
Current Assets,619458000.0
Current Liabilities,325900000.0
Working Capital,293558000.0
Operating Cash Flow,177420000.0
Capital Expenditure,255393000.0
Dividends Paid,0
Depreciation & Amortization,83188000.0
Interest Expense,37581000.0
Income Tax Expense,7193000.0
Shares Outstanding,28814000
Net Fixed Assets,1340491000.0
Construction in Progress,244181000.0
Net Debt,915013000.0
3-5yr Average ROA (%),0.1658322299489392
3-5yr Average ROE (%),0.541052988467611
ROE,11.052504555804672
ROA,4.6669016601501925
insidersPercentHeld,0.020510001
institutionsPercentHeld,0.98482
institutionsFloatPercentHeld,1.00544
institutionsCount,244.0
current,37.66
high,50.0
low,45.0
mean,47.5
median,47.5
Normalized EBIT,78725000.0
Normalized Net Income,24075333.333333332
