,Value
ticker,WELENT.NS
ROCE,16.518149764492886
ROCE (3yr avg),20.43639019531865
NFAT,20.18244784187854
NFAT (3yr avg),29.00498775191041
NPM,15.338317277003457
DPR,11.990520674727563
Retention Ratio,88.00947932527244
Dep,24.901588476761535
SSGR,366.6417640597422
Av NPM (over 3 years),15.338317277003457
Au NFA/T (over 3 years),29.00498775191041
Av Dep%NFA (over 3 years),24.901588476761535
Au Retention ratio (over 3 years),88.00947932527242
d/e,0.6452394582008032
Interest coverage,2.981570614312856
tax %,26.235119906152043
cPAT,14651100000.0
CFO,-2734900000.0
cCFO,137700000.0
cCFO/cPAT,0.009398611708335893
p/a,6.518035940534237
p/e,18.459566
EY,5.041944591370469
Earnings Growth 5yr cagr,41.29393155384087
Sales Growth 5yr cagr,38.94181469298337
PEG,0.44702854161347155
no. shares (cr),13.6714
Current Price,467.95
market cap,63975316300.0
d/e_market,0.23432943933721512
p/s,1.8282894
NFA + CWIP,1900200000.0
Capex,566600000.0
Capex_from_cashflow_statement,516000000.0
FCF,-3301500000.0
FCF%,-102.35305059523809
FCF_capex_from_cashflow,-3250900000.0
FCF%_capex_from_cashflow,-100.7843501984127
DV,0.6389964499479934
Mcap (cr),6397.5317504
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,1.2071739368898315
Market Cap,63975317504
Net Income,3225600000.0
Total Revenue,35841000000.0
Total Assets,60580300000.0
Total Liabilities,33487600000.0
Total Stockholders Equity,23233700000.0
Total Debt,14991300000.0
Cash and Cash Equivalents,5913200000.0
Current Assets,36404900000.0
Current Liabilities,19541200000.0
Working Capital,16863700000.0
Operating Cash Flow,-2734900000.0
Capital Expenditure,516000000.0
Dividends Paid,408800000.0
Depreciation & Amortization,509000000.0
Interest Expense,1579000000.0
Income Tax Expense,1364200000.0
Shares Outstanding,136714000
Net Fixed Assets,1834700000.0
Construction in Progress,65500000.0
Net Debt,9078100000.0
3-5yr Average ROA (%),8.290294804765155
3-5yr Average ROE (%),20.244329431703978
ROE,13.264385068519907
ROA,5.861125344788112
insidersPercentHeld,0.64965
institutionsPercentHeld,0.11107001
institutionsFloatPercentHeld,0.31704
institutionsCount,17.0
current,467.95
high,509.0
low,509.0
mean,509.0
median,509.0
Normalized EBIT,7010933333.333333
Normalized Net Income,4468033333.333333
