,Value
ticker,WES
ROCE,17.415132735782855
ROCE (3yr avg),15.020060337527964
NFAT,0.372255322444291
NFAT (3yr avg),0.365007514192286
NPM,37.99415060828509
DPR,98.27930609453615
Retention Ratio,1.7206939054638437
Dep,6.715796367695847
SSGR,-6.477167947803128
Av NPM (over 3 years),37.99415060828509
Au NFA/T (over 3 years),0.365007514192286
Av Dep%NFA (over 3 years),6.715796367695847
Au Retention ratio (over 3 years),1.7206939054638468
d/e,0
Interest coverage,4.292846816060984
tax %,1.1115386810673864
cPAT,4729182000.0
CFO,2108712000.0
cCFO,7217898000.0
cCFO/cPAT,1.5262466109360984
p/a,12.617227274720891
p/e,11.858461
EY,10.707172695232867
Earnings Growth 5yr cagr,22.831085678013707
Sales Growth 5yr cagr,7.809316162683566
PEG,0.5193997853295114
no. shares (cr),38.1328992
p/s,4.0030527
NFA + CWIP,10174665000.0
Capex,690709000.0
FCF,1418003000.0
FCF%,90.1136968080881
DV,8.656203729342929
Mcap (cr),1469.6419328
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,False
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.6724498177086298
Current Price,38.54
Market Cap,14696419328
Net Income,1573571000.0
Total Revenue,3605223000.0
Total Assets,13144785000.0
Total Liabilities,9769615000.0
Total Stockholders Equity,0.0
Total Debt,7903394000.0
Cash and Cash Equivalents,17345000.0
Current Assets,1847190000.0
Current Liabilities,1691694000.0
Working Capital,155496000.0
Operating Cash Flow,2108712000.0
Capital Expenditure,833856000.0
Dividends Paid,1272152000.0
Depreciation & Amortization,650428000.0
Interest Expense,365208000.0
Income Tax Expense,18111000.0
Shares Outstanding,381328992
Net Fixed Assets,9714609000.0
Construction in Progress,460056000.0
Net Debt,7886049000.0
5yr Average ROA (%),
5yr Average ROE (%),
ROE,
ROA,12.285656777894404
insidersPercentHeld,0.00317
institutionsPercentHeld,0.81044
institutionsFloatPercentHeld,0.81301004
institutionsCount,321.0
current,38.54
high,45.0
low,35.0
mean,40.08333
median,40.5
