,Value
ticker,WPM
longName,Wheaton Precious Metals Corp.
ROCE,8.717134510523596
ROCE (3yr avg),8.789284017445365
NFAT,0.20284181503017587
NFAT (3yr avg),0.18487637763854192
NPM,52.310253475128434
DPR,45.82658158684709
Retention Ratio,54.17341841315291
Dep,0.0
SSGR,5.239073468599335
Av NPM (over 3 years),52.310253475128434
Au NFA/T (over 3 years),0.18487637763854192
Av Dep%NFA (over 3 years),0.0
Au Retention ratio (over 3 years),54.17341841315291
d/e,0.0007402459603556846
Interest coverage,2569.3415492957747
tax %,17.87926945855009
cPAT,2490795000.0
CFO,1027581000.0
cCFO,3366959000.0
cCFO/cPAT,1.3517607832037561
p/a,7.525616236807878
p/e,62.83146
EY,1.04222221623267
Earnings Growth 5yr cagr,-11.383907136771787
Sales Growth 5yr cagr,2.2506074730077597
PEG,-5.519322956970075
no. shares (cr),45.3955318
Current Price,111.84
market cap,50770362765.12
d/e_market,0.00010185075934798233
p/s,30.540438
NFA + CWIP,6475786000.0
Capex,285160000.0
Capex_from_cashflow_statement,658329000.0
FCF,742421000.0
FCF%,140.30710209018406
FCF_capex_from_cashflow,369252000.0
FCF%_capex_from_cashflow,69.7834221567071
DV,0.5496316843174331
Mcap (cr),5077.0362368
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7224938958583313
Market Cap,50770362368
Net Income,529140000.0
Total Revenue,1284639000.0
Total Assets,7424457000.0
Total Liabilities,165078000.0
Total Stockholders Equity,6985516000.0
Total Debt,5171000.0
Cash and Cash Equivalents,467000.0
Current Assets,828080000.0
Current Liabilities,29504000.0
Working Capital,798576000.0
Operating Cash Flow,1027581000.0
Capital Expenditure,658329000.0
Dividends Paid,279050000.0
Depreciation & Amortization,0
Interest Expense,284000.0
Income Tax Expense,115204000.0
Shares Outstanding,453955318
Net Fixed Assets,6475786000.0
Construction in Progress,0
Net Debt,4704000.0
3-5yr Average ROA (%),9.023511380125292
3-5yr Average ROE (%),9.083401844674432
ROE,7.846989799675126
ROA,7.796975598232221
insidersPercentHeld,0.0012800001
institutionsPercentHeld,0.72229
institutionsFloatPercentHeld,0.72322
institutionsCount,1109.0
current,111.84
high,135.0
low,100.05
mean,115.705
median,115.0
Normalized EBIT,617873000.0
Normalized Net Income,578636666.6666666
