,Value
ticker,WSI.NS
ROCE,4.6234422972728915
ROCE (3yr avg),9.784796327927307
NFAT,30.408344994275538
NFAT (3yr avg),12.534723707944678
NPM,10.568536081710008
DPR,0.0
Retention Ratio,100.0
Dep,9.11927660729262
SSGR,123.35440317438658
Av NPM (over 3 years),10.568536081710008
Au NFA/T (over 3 years),12.534723707944678
Av Dep%NFA (over 3 years),9.11927660729262
Au Retention ratio (over 3 years),100.0
d/e,0.6339273370249365
Interest coverage,1.0797546012269938
tax %,481.7204301075269
cPAT,-104140000.0
CFO,-825900000.0
cCFO,-901530000.0
cCFO/cPAT,8.656904167466871
p/a,-5.033657934596807
p/e,inf
EY,-3.63844696390712
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,
PEG,
no. shares (cr),6.33836
Current Price,76.23
market cap,4831731828.0
d/e_market,0.1803080201908921
p/s,2.4987743
NFA + CWIP,123700000.0
Capex,75940000.0
Capex_from_cashflow_statement,81500000.0
FCF,-901840000.0
FCF%,512.9920364050057
FCF_capex_from_cashflow,-907400000.0
FCF%_capex_from_cashflow,516.1547212741752
DV,0.0
Mcap (cr),483.2379904
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.0919481777454898
Market Cap,4832379904
Net Income,-175800000.0
Total Revenue,2390400000.0
Total Assets,4087500000.0
Total Liabilities,2103700000.0
Total Stockholders Equity,1374290000.0
Total Debt,871200000.0
Cash and Cash Equivalents,628700000.0
Current Assets,2018300000.0
Current Liabilities,1319000000.0
Working Capital,699300000.0
Operating Cash Flow,-825900000.0
Capital Expenditure,81500000.0
Dividends Paid,0
Depreciation & Amortization,20200000.0
Interest Expense,81500000.0
Income Tax Expense,224000000.0
Shares Outstanding,63383600
Net Fixed Assets,94900000.0
Construction in Progress,28800000.0
Net Debt,242500000.0
3-5yr Average ROA (%),7.857486443341114
3-5yr Average ROE (%),43.29844662753592
ROE,-10.467743808222359
ROA,-4.6385285468714335
insidersPercentHeld,0.67091006
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,76.23
Normalized EBIT,198096666.66666666
Normalized Net Income,163333333.33333334
