,Value
ticker,WW
longName,"WW International, Inc."
ROCE,-62.66723262014352
ROCE (3yr avg),-31.38010110039005
NFAT,12.10431394292227
NFAT (3yr avg),10.40583941801413
NPM,-27.10292987701369
DPR,0.0
Retention Ratio,100.0
Dep,51.91844570192972
SSGR,-333.9471817598316
Av NPM (over 3 years),-27.10292987701369
Au NFA/T (over 3 years),10.40583941801413
Av Dep%NFA (over 3 years),51.91844570192972
Au Retention ratio (over 3 years),100.0
d/e,-1.9486857076786837
Interest coverage,0.7233419608275052
tax %,-0.15238647063083943
cPAT,-647699000.0
CFO,-16840000.0
cCFO,223773000.0
cCFO/cPAT,-0.34548918556304703
p/a,-35.202692382106456
p/e,2.3815498
EY,-107.26787186961198
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,-13.425127546038695
PEG,
no. shares (cr),0.998693
Current Price,32.27
market cap,322278231.1
d/e_market,4.602026624441156
p/s,0.42797247
NFA + CWIP,57845000.0
Capex,23616000.0
Capex_from_cashflow_statement,16410000.0
FCF,-40456000.0
FCF%,11.702598488289013
FCF_capex_from_cashflow,-33250000.0
FCF%_capex_from_cashflow,9.618138217708367
DV,0.0
Mcap (cr),32.227824
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,True
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,2.402375296912114
Market Cap,322278240
Net Income,-345701000.0
Total Revenue,785921000.0
Total Assets,550276000.0
Total Liabilities,1664648000.0
Total Stockholders Equity,-761094000.0
Total Debt,1483133000.0
Cash and Cash Equivalents,18551000.0
Current Assets,102648000.0
Current Liabilities,173331000.0
Working Capital,-70683000.0
Operating Cash Flow,-16840000.0
Capital Expenditure,16410000.0
Dividends Paid,0
Depreciation & Amortization,37784000.0
Interest Expense,108954000.0
Income Tax Expense,526000.0
Shares Outstanding,9986930
Net Fixed Assets,57845000.0
Construction in Progress,0
Net Debt,1464582000.0
3-5yr Average ROA (%),-16.03653750723771
3-5yr Average ROE (%),30.24764642314232
ROE,15.516900573235818
ROA,-11.167096087462571
insidersPercentHeld,0.0
institutionsPercentHeld,0.2534
institutionsFloatPercentHeld,0.2534
institutionsCount,13.0
current,32.27
high,60.0
low,41.0
mean,50.5
median,50.5
Normalized EBIT,-166540666.66666666
Normalized Net Income,-238274666.66666666
