,Value
ticker,XOM
longName,Exxon Mobil Corporation
ROCE,13.01491773843327
ROCE (3yr avg),18.813875012493416
NFAT,1.3144496502754988
NFAT (3yr avg),1.5094189412632881
NPM,11.55605591877486
DPR,39.296223968195996
Retention Ratio,60.703776031804004
Dep,0.0
SSGR,10.588516972461226
Av NPM (over 3 years),11.55605591877486
Au NFA/T (over 3 years),1.5094189412632881
Av Dep%NFA (over 3 years),0.0
Au Retention ratio (over 3 years),60.70377603180401
d/e,0.20366012050663568
Interest coverage,39.81124497991968
tax %,28.25691076872711
cPAT,148470000000.0
CFO,55022000000.0
cCFO,235317000000.0
cCFO/cPAT,1.5849464538290563
p/a,8.94990128003784
p/e,16.100853
EY,6.969630684751688
Earnings Growth 5yr cagr,13.30326698854094
Sales Growth 5yr cagr,7.030233055207891
PEG,1.210293156851533
no. shares (cr),426.324992
Current Price,113.35
market cap,483239378432.0
d/e_market,0.08631333012499788
p/s,1.4651786
NFA + CWIP,294318000000.0
Capex,79378000000.0
Capex_from_cashflow_statement,24306000000.0
FCF,-24356000000.0
FCF%,-72.31591448931115
FCF_capex_from_cashflow,30716000000.0
FCF%_capex_from_cashflow,91.19952494061758
DV,3.456671940560932
Mcap (cr),48323.936256
d/e decreasing trend 5 yrs,True
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,-0.4426592999163971
Market Cap,483239362560
Net Income,33680000000.0
Total Revenue,339247000000.0
Total Assets,453475000000.0
Total Liabilities,182869000000.0
Total Stockholders Equity,204802000000.0
Total Debt,41710000000.0
Cash and Cash Equivalents,1598000000.0
Current Assets,91990000000.0
Current Liabilities,70307000000.0
Working Capital,21683000000.0
Operating Cash Flow,55022000000.0
Capital Expenditure,24306000000.0
Dividends Paid,16704000000.0
Depreciation & Amortization,0
Interest Expense,996000000.0
Income Tax Expense,13810000000.0
Shares Outstanding,4263249920
Net Fixed Assets,294318000000.0
Construction in Progress,0
Net Debt,40112000000.0
3-5yr Average ROA (%),7.535974871896209
3-5yr Average ROE (%),13.981245559872498
ROE,15.372235633619136
ROA,8.679283483089737
insidersPercentHeld,0.00068000006
institutionsPercentHeld,0.66591
institutionsFloatPercentHeld,0.66636
institutionsCount,4998.0
current,113.35
high,145.0
low,95.0
mean,124.79167
median,124.5
Normalized EBIT,60684000000.0
Normalized Net Income,41810000000.0
