,Value
ticker,ZS
longName,"Zscaler, Inc."
ROCE,-0.32734569554945686
ROCE (3yr avg),-3.2772967831710003
NFAT,4.833720303645116
NFAT (3yr avg),5.424357117746678
NPM,-5.575676124946855
DPR,0.0
Retention Ratio,100.0
Dep,22.32756947825905
SSGR,-52.572027952864744
Av NPM (over 3 years),-5.575676124946855
Au NFA/T (over 3 years),5.424357117746678
Av Dep%NFA (over 3 years),22.32756947825905
Au Retention ratio (over 3 years),100.0
d/e,1.4100723489956064
Interest coverage,-24.315165423599158
tax %,-126.76726258815812
cPAT,-691797000.0
CFO,972453000.0
cCFO,2536554000.0
cCFO/cPAT,-3.6666160737904328
p/a,-0.8815787907590444
p/e,inf
EY,-0.08743913634324536
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,34.81497314980284
PEG,
no. shares (cr),15.8300823
Current Price,299.66
market cap,47436424620.18
d/e_market,0.037873343414581796
p/s,17.745749
NFA + CWIP,633149000.0
Capex,281451000.0
Capex_from_cashflow_statement,245760000.0
FCF,691002000.0
FCF%,-1665.948213510777
FCF_capex_from_cashflow,726693000.0
FCF%_capex_from_cashflow,-1751.9962389700563
DV,0.0
Mcap (cr),4743.6423168
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.7105762437876175
Market Cap,47436423168
Net Income,-41478000.0
Total Revenue,2673115000.0
Total Assets,6419888000.0
Total Liabilities,4620615000.0
Total Stockholders Equity,1274102000.0
Total Debt,1796576000.0
Cash and Cash Equivalents,148881000.0
Current Assets,4894290000.0
Current Liabilities,2429611000.0
Working Capital,2464679000.0
Operating Cash Flow,972453000.0
Capital Expenditure,245760000.0
Dividends Paid,0
Depreciation & Amortization,121181000.0
Interest Expense,5229000.0
Income Tax Expense,23187000.0
Shares Outstanding,158300823
Net Fixed Assets,633149000.0
Construction in Progress,0
Net Debt,1647695000.0
3-5yr Average ROA (%),-3.835510782865109
3-5yr Average ROE (%),-18.469700697114217
ROE,-5.772868737413804
ROA,-1.3882839334871835
insidersPercentHeld,0.36168998
institutionsPercentHeld,0.56633
institutionsFloatPercentHeld,0.88724
institutionsCount,1341.0
current,299.66
high,385.0
low,215.0
mean,323.765
median,330.0
Normalized EBIT,-68394000.0
Normalized Net Income,-100506333.33333333
Research Asset,1398474600.0
R&D Amortization,362447600.0
Adjusted EBIT (R&D),296975400.0
Adjusted Book Equity (R&D),2672576600.0
Adjusted D/E (R&D),0.6722261954998783
Adjusted Invested Capital (R&D),4320271600.0
Adjusted ROC (R&D),15.587977967409108
Adjusted ROE (R&D),-1.5519854510437605
